,ds,population,temp,rain,hum,week_weekend,st,holiday,y,warning
0,2017-01-01 01:00:00,57829.0,-0.6,0.0,99.0,1,-3.3,0,525.0,not
1,2017-01-01 02:00:00,57829.0,0.0,0.0,99.0,1,-3.3,0,542.0,not
2,2017-01-01 03:00:00,57829.0,-0.5,0.0,98.0,1,-3.3,0,392.0,not
3,2017-01-01 04:00:00,57829.0,-1.3,0.0,99.0,1,-3.3,0,379.0,not
4,2017-01-01 05:00:00,57829.0,-2.2,0.0,99.0,1,-3.3,0,353.0,not
5,2017-01-01 06:00:00,57829.0,-2.3,0.0,99.0,1,-3.3,0,268.0,not
6,2017-01-01 07:00:00,57829.0,-2.6,0.0,99.0,1,-3.3,0,479.0,not
7,2017-01-01 08:00:00,57829.0,-1.8,0.0,99.0,1,-3.3,0,343.0,not
8,2017-01-01 09:00:00,57829.0,-1.4,0.0,99.0,1,-3.3,0,422.0,not
9,2017-01-01 10:00:00,57829.0,-0.6,0.0,99.0,1,-3.3,0,577.0,not
10,2017-01-01 11:00:00,57829.0,0.9,0.0,98.0,1,-3.3,0,333.0,not
11,2017-01-01 12:00:00,57829.0,3.5,0.0,87.0,1,-3.3,0,512.0,not
12,2017-01-01 13:00:00,57829.0,5.3,0.0,78.0,1,-3.3,0,508.0,not
13,2017-01-01 14:00:00,57829.0,7.2,0.0,67.0,1,-3.3,0,654.0,not
14,2017-01-01 15:00:00,57829.0,9.7,0.0,54.0,1,-3.3,0,351.0,not
15,2017-01-01 16:00:00,57829.0,8.4,0.0,59.0,1,-3.3,0,447.0,not
16,2017-01-01 17:00:00,57829.0,5.9,0.0,73.0,1,-3.3,0,495.0,not
17,2017-01-01 18:00:00,57829.0,4.3,0.0,84.0,1,-3.3,0,446.0,not
18,2017-01-01 19:00:00,57829.0,3.4,0.0,88.0,1,-3.3,0,343.0,not
19,2017-01-01 20:00:00,57829.0,2.4,0.0,91.0,1,-3.3,0,513.0,not
20,2017-01-01 21:00:00,57829.0,1.7,0.0,95.0,1,-3.3,0,517.0,not
21,2017-01-01 22:00:00,57829.0,0.9,0.0,98.0,1,-3.3,0,407.0,not
22,2017-01-01 23:00:00,57829.0,0.1,0.0,98.0,1,-3.3,0,294.0,not
23,2017-01-02 00:00:00,57829.0,0.0,0.0,99.0,0,-3.4,0,506.0,not
24,2017-01-02 01:00:00,57829.0,-0.4,0.0,99.0,0,-3.4,0,637.0,not
25,2017-01-02 02:00:00,57829.0,-0.8,0.0,99.0,0,-3.4,0,397.0,not
26,2017-01-02 03:00:00,57829.0,-0.8,0.0,99.0,0,-3.4,0,276.0,not
27,2017-01-02 04:00:00,57829.0,-0.5,0.0,99.0,0,-3.4,0,388.0,not
28,2017-01-02 05:00:00,57829.0,-1.3,0.0,99.0,0,-3.4,0,404.0,not
29,2017-01-02 06:00:00,57829.0,-1.8,0.0,99.0,0,-3.4,0,429.0,not
30,2017-01-02 07:00:00,57829.0,-1.5,0.0,99.0,0,-3.4,0,582.0,not
31,2017-01-02 08:00:00,57829.0,-1.1,0.0,99.0,0,-3.4,0,340.0,not
32,2017-01-02 09:00:00,57829.0,0.1,0.0,99.0,0,-3.4,0,382.0,not
33,2017-01-02 10:00:00,57829.0,1.9,0.0,97.0,0,-3.4,0,310.0,not
34,2017-01-02 11:00:00,57829.0,4.4,0.0,86.0,0,-3.4,0,424.0,not
35,2017-01-02 12:00:00,57829.0,6.2,0.0,80.0,0,-3.4,0,497.0,not
36,2017-01-02 13:00:00,57829.0,7.1,0.0,76.0,0,-3.4,0,590.0,not
37,2017-01-02 14:00:00,57829.0,8.4,0.0,70.0,0,-3.4,0,539.0,not
38,2017-01-02 15:00:00,57829.0,9.3,0.0,69.0,0,-3.4,0,514.0,not
39,2017-01-02 16:00:00,57829.0,10.3,0.0,68.0,0,-3.4,0,551.0,not
40,2017-01-02 17:00:00,57829.0,10.0,0.0,67.0,0,-3.4,0,555.0,not
41,2017-01-02 18:00:00,57829.0,9.2,0.0,68.0,0,-3.4,0,601.0,not
42,2017-01-02 19:00:00,57829.0,9.2,0.0,68.0,0,-3.4,0,458.0,not
43,2017-01-02 20:00:00,57829.0,8.7,0.0,73.0,0,-3.4,0,590.0,not
44,2017-01-02 21:00:00,57829.0,6.9,0.0,79.0,0,-3.4,0,387.0,not
