,ds,y,population,temp,rain,hum,week_weekend,st,holiday,warning
0,2021-01-01 00:00:00,366.0,76279,-4.3,0.0,61.0,0,-8.6,1,not
1,2021-01-01 01:00:00,486.0,76279,-4.8,0.0,64.0,0,-8.6,1,not
2,2021-01-01 02:00:00,364.0,76279,-5.4,0.0,69.0,0,-8.6,1,not
3,2021-01-01 03:00:00,356.0,76279,-4.4,0.0,68.0,0,-8.6,1,not
4,2021-01-01 04:00:00,500.0,76279,-4.9,0.0,68.0,0,-8.6,1,not
5,2021-01-01 05:00:00,328.0,76279,-4.8,0.0,68.0,0,-8.6,1,not
6,2021-01-01 06:00:00,216.0,76279,-6.3,0.0,74.0,0,-8.6,1,not
7,2021-01-01 07:00:00,546.0,76279,-7.2,0.0,78.0,0,-8.6,1,not
8,2021-01-01 08:00:00,486.0,76279,-8.0,0.0,79.0,0,-8.6,1,not
9,2021-01-01 09:00:00,220.0,76279,-5.4,0.0,74.0,0,-8.6,1,not
10,2021-01-01 10:00:00,408.0,76279,-3.6,0.0,68.0,0,-8.6,1,not
11,2021-01-01 11:00:00,558.0,76279,-2.2,0.0,56.0,0,-8.6,1,not
12,2021-01-01 12:00:00,318.0,76279,-0.8,0.0,54.0,0,-8.6,1,not
13,2021-01-01 13:00:00,290.0,76279,0.2,0.0,50.0,0,-8.6,1,not
14,2021-01-01 14:00:00,506.0,76279,0.3,0.0,51.0,0,-8.6,1,not
15,2021-01-01 15:00:00,452.0,76279,0.5,0.0,54.0,0,-8.6,1,not
16,2021-01-01 16:00:00,300.0,76279,-0.7,0.0,74.0,0,-8.6,1,not
17,2021-01-01 17:00:00,356.0,76279,-1.1,0.0,83.0,0,-8.6,1,not
18,2021-01-01 18:00:00,448.0,76279,-1.4,0.3,89.0,0,-8.6,1,not
19,2021-01-01 19:00:00,342.0,76279,-1.8,0.0,91.0,0,-8.6,1,not
20,2021-01-01 20:00:00,486.0,76279,-1.8,0.0,91.0,0,-8.6,1,not
21,2021-01-01 21:00:00,420.0,76279,-1.6,0.1,90.0,0,-8.6,1,not
22,2021-01-01 22:00:00,240.0,76279,-1.7,0.0,91.0,0,-8.6,1,not
23,2021-01-01 23:00:00,424.0,76279,-2.3,0.0,92.0,0,-8.6,1,not
24,2021-01-02 00:00:00,448.0,76279,-3.1,0.0,92.0,1,-9.2,0,not
25,2021-01-02 01:00:00,328.0,76279,-2.6,0.0,91.0,1,-9.2,0,not
26,2021-01-02 02:00:00,408.0,76279,-2.5,0.0,92.0,1,-9.2,0,not
27,2021-01-02 03:00:00,240.0,76279,-2.4,0.0,91.0,1,-9.2,0,not
28,2021-01-02 04:00:00,536.0,76279,-3.7,0.0,92.0,1,-9.2,0,not
29,2021-01-02 05:00:00,308.0,76279,-4.3,0.0,92.0,1,-9.2,0,not
30,2021-01-02 06:00:00,332.0,76279,-4.3,0.0,90.0,1,-9.2,0,not
31,2021-01-02 07:00:00,484.0,76279,-4.0,0.0,85.0,1,-9.2,0,not
32,2021-01-02 08:00:00,328.0,76279,-4.4,0.0,85.0,1,-9.2,0,not
33,2021-01-02 09:00:00,348.0,76279,-3.3,0.0,81.0,1,-9.2,0,not
34,2021-01-02 10:00:00,442.0,76279,-1.1,0.0,49.0,1,-9.2,0,not
35,2021-01-02 11:00:00,538.0,76279,-0.2,0.0,38.0,1,-9.2,0,not
36,2021-01-02 12:00:00,514.0,76279,-0.2,0.0,36.0,1,-9.2,0,not
37,2021-01-02 13:00:00,254.0,76279,1.2,0.0,31.0,1,-9.2,0,not
38,2021-01-02 14:00:00,360.0,76279,1.5,0.0,25.0,1,-9.2,0,not
39,2021-01-02 15:00:00,480.0,76279,1.7,0.0,24.0,1,-9.2,0,not
40,2021-01-02 16:00:00,294.0,76279,0.6,0.0,26.0,1,-9.2,0,not
41,2021-01-02 17:00:00,294.0,76279,-0.6,0.0,29.0,1,-9.2,0,not
42,2021-01-02 18:00:00,582.0,76279,-0.7,0.0,33.0,1,-9.2,0,not
43,2021-01-02 19:00:00,306.0,76279,-1.7,0.0,37.0,1,-9.2,0,not
44,2021-01-02 20:00:00,234.0,76279,-1.6,0.0,37.0,1,-9.2,0,not
45,2021-01-02 21:00:00,418.0,76279,-2.7,0.0,40.0,1,-9.2,0,not
46,2021-01-02 22:00:00,440.0,76279,-3.0,0.0,41.0,1,-9.2,0,not
47,2021-01-02 23:00:00,408.0,76279,-5.2,0.0,51.0,1,-9.2,0,not
48,2021-01-03 00:00:00,284.0,76279,-4.8,0.0,53.0,1,-8.7,0,not
49,2021-01-03 01:00:00,352.0,76279,-4.3,0.0,53.0,1,-8.7,0,not
50,2021-01-03 02:00:00,488.0,76279,-3.1,0.0,49.0,1,-8.7,0,not
51,2021-01-03 03:00:00,304.0,76279,-2.8,0.0,49.0,1,-8.7,0,not
52,2021-01-03 04:00:00,202.0,76279,-3.0,0.0,48.0,1,-8.7,0,not
53,2021-01-03 05:00:00,538.0,76279,-3.5,0.0,49.0,1,-8.7,0,not
54,2021-01-03 06:00:00,376.0,76279,-3.8,0.0,48.0,1,-8.7,0,not
55,2021-01-03 07:00:00,188.0,76279,-4.0,0.0,44.0,1,-8.7,0,not
56,2021-01-03 08:00:00,420.0,76279,-4.5,0.0,41.0,1,-8.7,0,not
57,2021-01-03 09:00:00,492.0,76279,-3.8,0.0,42.0,1,-8.7,0,not
58,2021-01-03 10:00:00,320.0,76279,-1.6,0.0,30.0,1,-8.7,0,not
59,2021-01-03 11:00:00,596.0,76279,-0.4,0.0,32.0,1,-8.7,0,not
60,2021-01-03 12:00:00,354.0,76279,0.8,0.0,29.0,1,-8.7,0,not
61,2021-01-03 13:00:00,258.0,76279,1.3,0.0,30.0,1,-8.7,0,not
62,2021-01-03 14:00:00,352.0,76279,2.0,0.0,31.0,1,-8.7,0,not
63,2021-01-03 15:00:00,424.0,76279,2.3,0.0,33.0,1,-8.7,0,not
64,2021-01-03 16:00:00,292.0,76279,1.2,0.0,33.0,1,-8.7,0,not
65,2021-01-03 17:00:00,358.0,76279,0.2,0.0,38.0,1,-8.7,0,not
66,2021-01-03 18:00:00,330.0,76279,-0.2,0.0,42.0,1,-8.7,0,not
67,2021-01-03 19:00:00,404.0,76279,-0.7,0.0,45.0,1,-8.7,0,not
68,2021-01-03 20:00:00,348.0,76279,-1.2,0.0,49.0,1,-8.7,0,not
69,2021-01-03 21:00:00,220.0,76279,-1.4,0.0,51.0,1,-8.7,0,not
70,2021-01-03 22:00:00,458.0,76279,-3.3,0.0,60.0,1,-8.7,0,not
71,2021-01-03 23:00:00,358.0,76279,-3.2,0.0,60.0,1,-8.7,0,not
72,2021-01-04 00:00:00,208.0,76279,-3.1,0.0,60.0,0,-8.1,0,not
73,2021-01-04 01:00:00,468.0,76279,-3.2,0.0,60.0,0,-8.1,0,not
74,2021-01-04 02:00:00,404.0,76279,-3.6,0.0,62.0,0,-8.1,0,not
75,2021-01-04 03:00:00,264.0,76279,-4.3,0.0,66.0,0,-8.1,0,not
76,2021-01-04 04:00:00,548.0,76279,-6.1,0.0,73.0,0,-8.1,0,not
77,2021-01-04 05:00:00,392.0,76279,-6.6,0.0,77.0,0,-8.1,0,not
78,2021-01-04 06:00:00,204.0,76279,-6.8,0.0,79.0,0,-8.1,0,not
79,2021-01-04 07:00:00,252.0,76279,-6.8,0.0,79.0,0,-8.1,0,not
80,2021-01-04 08:00:00,564.0,76279,-6.7,0.0,79.0,0,-8.1,0,not
81,2021-01-04 09:00:00,368.0,76279,-5.1,0.0,74.0,0,-8.1,0,not
82,2021-01-04 10:00:00,470.0,76279,-2.3,0.0,58.0,0,-8.1,0,not
83,2021-01-04 11:00:00,582.0,76279,-0.6,0.0,50.0,0,-8.1,0,not
84,2021-01-04 12:00:00,338.0,76279,0.9,0.0,38.0,0,-8.1,0,not
85,2021-01-04 13:00:00,410.0,76279,2.6,0.0,25.0,0,-8.1,0,not
86,2021-01-04 14:00:00,576.0,76279,3.6,0.0,30.0,0,-8.1,0,not
87,2021-01-04 15:00:00,314.0,76279,3.3,0.0,32.0,0,-8.1,0,not
88,2021-01-04 16:00:00,346.0,76279,3.6,0.0,33.0,0,-8.1,0,not
89,2021-01-04 17:00:00,602.0,76279,2.1,0.0,37.0,0,-8.1,0,not
90,2021-01-04 18:00:00,390.0,76279,-0.3,0.0,48.0,0,-8.1,0,not
91,2021-01-04 19:00:00,212.0,76279,-1.6,0.0,55.0,0,-8.1,0,not
92,2021-01-04 20:00:00,488.0,76279,-1.9,0.0,59.0,0,-8.1,0,not
93,2021-01-04 21:00:00,528.0,76279,-2.0,0.0,60.0,0,-8.1,0,not
94,2021-01-04 22:00:00,300.0,76279,-2.1,0.0,63.0,0,-8.1,0,not
95,2021-01-04 23:00:00,460.0,76279,-2.7,0.0,67.0,0,-8.1,0,not
96,2021-01-05 00:00:00,468.0,76279,-1.9,0.0,63.0,0,-9.6,0,not
97,2021-01-05 01:00:00,304.0,76279,-1.7,0.0,62.0,0,-9.6,0,not
98,2021-01-05 02:00:00,540.0,76279,-2.0,0.0,65.0,0,-9.6,0,not
99,2021-01-05 03:00:00,396.0,76279,-1.7,0.0,64.0,0,-9.6,0,not
100,2021-01-05 04:00:00,250.0,76279,-1.6,0.0,64.0,0,-9.6,0,not
101,2021-01-05 05:00:00,342.0,76279,-2.2,0.0,67.0,0,-9.6,0,not
102,2021-01-05 06:00:00,608.0,76279,-1.4,0.0,66.0,0,-9.6,0,not
103,2021-01-05 07:00:00,212.0,76279,-1.0,0.0,66.0,0,-9.6,0,not
104,2021-01-05 08:00:00,652.0,76279,0.6,0.0,60.0,0,-9.6,0,not
105,2021-01-05 09:00:00,460.0,76279,0.9,0.0,55.0,0,-9.6,0,not
106,2021-01-05 10:00:00,420.0,76279,0.6,0.0,54.0,0,-9.6,0,not
107,2021-01-05 11:00:00,640.0,76279,0.7,0.0,51.0,0,-9.6,0,not
108,2021-01-05 12:00:00,544.0,76279,2.6,0.0,45.0,0,-9.6,0,not
109,2021-01-05 13:00:00,352.0,76279,1.2,0.0,37.0,0,-9.6,0,not
110,2021-01-05 14:00:00,564.0,76279,1.6,0.0,27.0,0,-9.6,0,not
111,2021-01-05 15:00:00,494.0,76279,1.3,0.0,20.0,0,-9.6,0,not
112,2021-01-05 16:00:00,244.0,76279,0.2,0.0,23.0,0,-9.6,0,not
113,2021-01-05 17:00:00,538.0,76279,-1.3,0.0,23.0,0,-9.6,0,not
114,2021-01-05 18:00:00,564.0,76279,-2.1,0.0,27.0,0,-9.6,0,not
115,2021-01-05 19:00:00,360.0,76279,-2.9,0.0,29.0,0,-9.6,0,not
116,2021-01-05 20:00:00,370.0,76279,-3.5,0.0,34.0,0,-9.6,0,not
117,2021-01-05 21:00:00,438.0,76279,-4.3,0.0,38.0,0,-9.6,0,not
118,2021-01-05 22:00:00,576.0,76279,-5.2,0.0,44.0,0,-9.6,0,not
119,2021-01-05 23:00:00,314.0,76279,-5.6,0.0,47.0,0,-9.6,0,not
120,2021-01-06 00:00:00,480.0,76279,-5.6,0.0,46.0,0,-11.4,0,not
121,2021-01-06 01:00:00,464.0,76279,-5.8,0.0,51.0,0,-11.4,0,not
122,2021-01-06 02:00:00,314.0,76279,-5.8,0.0,52.0,0,-11.4,0,not
123,2021-01-06 03:00:00,582.0,76279,-6.1,0.0,54.0,0,-11.4,0,not
124,2021-01-06 04:00:00,334.0,76279,-6.6,0.0,55.0,0,-11.4,0,not
125,2021-01-06 05:00:00,362.0,76279,-7.3,0.0,59.0,0,-11.4,0,not
126,2021-01-06 06:00:00,560.0,76279,-7.2,0.0,59.0,0,-11.4,0,not
127,2021-01-06 07:00:00,422.0,76279,-8.8,0.0,66.0,0,-11.4,0,not
128,2021-01-06 08:00:00,306.0,76279,-8.7,0.0,69.0,0,-11.4,0,not
129,2021-01-06 09:00:00,666.0,76279,-7.6,0.0,66.0,0,-11.4,0,not
130,2021-01-06 10:00:00,516.0,76279,-4.0,0.0,49.0,0,-11.4,0,not
131,2021-01-06 11:00:00,408.0,76279,-2.9,0.0,43.0,0,-11.4,0,not
132,2021-01-06 12:00:00,612.0,76279,-1.2,0.0,37.0,0,-11.4,0,not
133,2021-01-06 13:00:00,418.0,76279,-0.1,0.0,35.0,0,-11.4,0,not
