Unnamed: 0,ds,y,population,temp,rain,hum,week_weekend,year,month,day,hour,st,holiday
0,2021-01-01 00:00:00,366.0,76279,-4.3,0.0,61.0,0,2021,1,1,0,-8.6,1
1,2021-01-01 01:00:00,486.0,76279,-4.8,0.0,64.0,0,2021,1,1,1,-8.6,1
2,2021-01-01 02:00:00,364.0,76279,-5.4,0.0,69.0,0,2021,1,1,2,-8.6,1
3,2021-01-01 03:00:00,356.0,76279,-4.4,0.0,68.0,0,2021,1,1,3,-8.6,1
4,2021-01-01 04:00:00,500.0,76279,-4.9,0.0,68.0,0,2021,1,1,4,-8.6,1
5,2021-01-01 05:00:00,328.0,76279,-4.8,0.0,68.0,0,2021,1,1,5,-8.6,1
6,2021-01-01 06:00:00,216.0,76279,-6.3,0.0,74.0,0,2021,1,1,6,-8.6,1
7,2021-01-01 07:00:00,546.0,76279,-7.2,0.0,78.0,0,2021,1,1,7,-8.6,1
8,2021-01-01 08:00:00,486.0,76279,-8.0,0.0,79.0,0,2021,1,1,8,-8.6,1
9,2021-01-01 09:00:00,220.0,76279,-5.4,0.0,74.0,0,2021,1,1,9,-8.6,1
10,2021-01-01 10:00:00,408.0,76279,-3.6,0.0,68.0,0,2021,1,1,10,-8.6,1
11,2021-01-01 11:00:00,558.0,76279,-2.2,0.0,56.0,0,2021,1,1,11,-8.6,1
12,2021-01-01 12:00:00,318.0,76279,-0.8,0.0,54.0,0,2021,1,1,12,-8.6,1
13,2021-01-01 13:00:00,290.0,76279,0.2,0.0,50.0,0,2021,1,1,13,-8.6,1
14,2021-01-01 14:00:00,506.0,76279,0.3,0.0,51.0,0,2021,1,1,14,-8.6,1
15,2021-01-01 15:00:00,452.0,76279,0.5,0.0,54.0,0,2021,1,1,15,-8.6,1
16,2021-01-01 16:00:00,300.0,76279,-0.7,0.0,74.0,0,2021,1,1,16,-8.6,1
17,2021-01-01 17:00:00,356.0,76279,-1.1,0.0,83.0,0,2021,1,1,17,-8.6,1
18,2021-01-01 18:00:00,448.0,76279,-1.4,0.3,89.0,0,2021,1,1,18,-8.6,1
19,2021-01-01 19:00:00,342.0,76279,-1.8,0.0,91.0,0,2021,1,1,19,-8.6,1
20,2021-01-01 20:00:00,486.0,76279,-1.8,0.0,91.0,0,2021,1,1,20,-8.6,1
21,2021-01-01 21:00:00,420.0,76279,-1.6,0.1,90.0,0,2021,1,1,21,-8.6,1
22,2021-01-01 22:00:00,240.0,76279,-1.7,0.0,91.0,0,2021,1,1,22,-8.6,1
23,2021-01-01 23:00:00,424.0,76279,-2.3,0.0,92.0,0,2021,1,1,23,-8.6,1
24,2021-01-02 00:00:00,448.0,76279,-3.1,0.0,92.0,1,2021,1,2,0,-9.2,0
25,2021-01-02 01:00:00,328.0,76279,-2.6,0.0,91.0,1,2021,1,2,1,-9.2,0
26,2021-01-02 02:00:00,408.0,76279,-2.5,0.0,92.0,1,2021,1,2,2,-9.2,0
27,2021-01-02 03:00:00,240.0,76279,-2.4,0.0,91.0,1,2021,1,2,3,-9.2,0
28,2021-01-02 04:00:00,536.0,76279,-3.7,0.0,92.0,1,2021,1,2,4,-9.2,0
29,2021-01-02 05:00:00,308.0,76279,-4.3,0.0,92.0,1,2021,1,2,5,-9.2,0
30,2021-01-02 06:00:00,332.0,76279,-4.3,0.0,90.0,1,2021,1,2,6,-9.2,0
31,2021-01-02 07:00:00,484.0,76279,-4.0,0.0,85.0,1,2021,1,2,7,-9.2,0
32,2021-01-02 08:00:00,328.0,76279,-4.4,0.0,85.0,1,2021,1,2,8,-9.2,0
