,ds,y,population,temp,rain,hum,year,month,day,hour,week_weekday
0,2021-01-01 00:00:00,106.0,22509.0,-5.6,0.0,67.0,2021,1,1,0,1
1,2021-01-01 01:00:00,184.0,22509.0,-8.4,0.0,80.3,2021,1,1,1,1
2,2021-01-01 02:00:00,277.0,22509.0,-5.3,0.0,69.5,2021,1,1,2,1
3,2021-01-01 03:00:00,197.0,22509.0,-5.6,0.0,70.9,2021,1,1,3,1
4,2021-01-01 04:00:00,72.0,22509.0,-6.0,0.0,72.2,2021,1,1,4,1
5,2021-01-01 05:00:00,45.0,22509.0,-5.8,0.0,69.7,2021,1,1,5,1
6,2021-01-01 06:00:00,66.0,22509.0,-6.7,0.0,69.7,2021,1,1,6,1
7,2021-01-01 07:00:00,39.0,22509.0,-9.8,0.0,82.2,2021,1,1,7,1
8,2021-01-01 08:00:00,110.0,22509.0,-10.4,0.0,84.1,2021,1,1,8,1
9,2021-01-01 09:00:00,299.0,22509.0,-7.5,0.0,81.5,2021,1,1,9,1
10,2021-01-01 10:00:00,356.0,22509.0,-3.7,0.0,61.7,2021,1,1,10,1
11,2021-01-01 11:00:00,279.0,22509.0,-1.9,0.0,56.2,2021,1,1,11,1
12,2021-01-01 12:00:00,308.0,22509.0,-1.4,0.0,54.4,2021,1,1,12,1
13,2021-01-01 13:00:00,257.0,22509.0,0.0,0.0,54.1,2021,1,1,13,1
14,2021-01-01 14:00:00,291.0,22509.0,-0.5,0.0,58.5,2021,1,1,14,1
15,2021-01-01 15:00:00,349.0,22509.0,-0.4,0.0,65.5,2021,1,1,15,1
16,2021-01-01 16:00:00,246.0,22509.0,-0.9,0.0,73.6,2021,1,1,16,1
17,2021-01-01 17:00:00,143.0,22509.0,-1.7,0.0,83.4,2021,1,1,17,1
18,2021-01-01 18:00:00,152.0,22509.0,-2.4,0.0,88.8,2021,1,1,18,1
19,2021-01-01 19:00:00,248.0,22509.0,-3.4,0.0,90.7,2021,1,1,19,1
20,2021-01-01 20:00:00,359.0,22509.0,-3.6,0.0,90.8,2021,1,1,20,1
21,2021-01-01 21:00:00,284.0,22509.0,-3.3,0.0,92.1,2021,1,1,21,1
22,2021-01-01 22:00:00,242.0,22509.0,-3.6,0.0,92.6,2021,1,1,22,1
23,2021-01-01 23:00:00,484.0,22509.0,-5.4,0.0,93.9,2021,1,1,23,1
24,2021-01-02 00:00:00,189.0,22509.0,-5.5,0.0,94.2,2021,1,2,0,0
25,2021-01-02 01:00:00,84.0,22509.0,-4.7,0.0,94.4,2021,1,2,1,0
26,2021-01-02 02:00:00,87.0,22509.0,-2.0,0.0,85.6,2021,1,2,2,0
27,2021-01-02 03:00:00,84.0,22509.0,-1.7,0.0,78.5,2021,1,2,3,0
28,2021-01-02 04:00:00,97.0,22509.0,-2.1,0.0,76.2,2021,1,2,4,0
29,2021-01-02 05:00:00,91.0,22509.0,-2.2,0.0,67.1,2021,1,2,5,0
30,2021-01-02 06:00:00,32.0,22509.0,-2.7,0.0,67.5,2021,1,2,6,0
31,2021-01-02 07:00:00,24.0,22509.0,-3.1,0.0,65.8,2021,1,2,7,0
32,2021-01-02 08:00:00,161.0,22509.0,-3.4,0.0,63.1,2021,1,2,8,0
33,2021-01-02 09:00:00,211.0,22509.0,-3.1,0.0,48.7,2021,1,2,9,0
34,2021-01-02 10:00:00,183.0,22509.0,-1.7,0.0,35.2,2021,1,2,10,0
35,2021-01-02 11:00:00,354.0,22509.0,-1.5,0.0,32.6,2021,1,2,11,0
36,2021-01-02 12:00:00,318.0,22509.0,-0.9,0.0,31.1,2021,1,2,12,0
37,2021-01-02 13:00:00,542.0,22509.0,-0.5,0.0,32.9,2021,1,2,13,0
38,2021-01-02 14:00:00,269.0,22509.0,0.0,0.0,30.2,2021,1,2,14,0
39,2021-01-02 15:00:00,347.0,22509.0,-0.1,0.0,28.7,2021,1,2,15,0
40,2021-01-02 16:00:00,421.0,22509.0,-0.4,0.0,30.4,2021,1,2,16,0
41,2021-01-02 17:00:00,190.0,22509.0,-1.3,0.0,31.9,2021,1,2,17,0
42,2021-01-02 18:00:00,368.0,22509.0,-2.3,0.0,37.2,2021,1,2,18,0
43,2021-01-02 19:00:00,480.0,22509.0,-5.7,0.0,49.6,2021,1,2,19,0
44,2021-01-02 20:00:00,491.0,22509.0,-5.2,0.0,46.9,2021,1,2,20,0
45,2021-01-02 21:00:00,439.0,22509.0,-5.1,0.0,47.8,2021,1,2,21,0
46,2021-01-02 22:00:00,278.0,22509.0,-4.1,0.0,44.2,2021,1,2,22,0
47,2021-01-02 23:00:00,112.0,22509.0,-4.2,0.0,46.4,2021,1,2,23,0
48,2021-01-03 00:00:00,99.0,22509.0,-4.2,0.0,43.2,2021,1,3,0,0
49,2021-01-03 01:00:00,83.0,22509.0,-3.8,0.0,42.6,2021,1,3,1,0
50,2021-01-03 02:00:00,120.0,22509.0,-5.6,0.0,49.6,2021,1,3,2,0
51,2021-01-03 03:00:00,99.0,22509.0,-7.8,0.0,61.0,2021,1,3,3,0
52,2021-01-03 04:00:00,97.0,22509.0,-5.5,0.0,57.7,2021,1,3,4,0
53,2021-01-03 05:00:00,81.0,22509.0,-5.8,0.0,58.5,2021,1,3,5,0
54,2021-01-03 06:00:00,24.0,22509.0,-5.7,0.0,49.8,2021,1,3,6,0
55,2021-01-03 07:00:00,25.0,22509.0,-5.5,0.0,37.3,2021,1,3,7,0
56,2021-01-03 08:00:00,38.0,22509.0,-6.0,0.0,39.9,2021,1,3,8,0
57,2021-01-03 09:00:00,226.0,22509.0,-5.1,0.0,36.2,2021,1,3,9,0
58,2021-01-03 10:00:00,147.0,22509.0,-3.6,0.0,33.5,2021,1,3,10,0
59,2021-01-03 11:00:00,331.0,22509.0,-2.0,0.0,37.3,2021,1,3,11,0
60,2021-01-03 12:00:00,443.0,22509.0,-0.7,0.0,34.0,2021,1,3,12,0
61,2021-01-03 13:00:00,298.0,22509.0,-0.4,0.0,37.0,2021,1,3,13,0
