,ds,y,population,temp,rain,hum,week_weekday,week_weekend,kovo_Away,kovo_Home,kovo_No
0,2017-01-01 01:00:00,138.0,16738.0,-4.2,0.0,89.5,0,1,0,0,1
1,2017-01-01 02:00:00,237.0,16738.0,-4.0,0.0,89.7,0,1,0,0,1
2,2017-01-01 03:00:00,128.0,16738.0,-4.7,0.0,89.5,0,1,0,0,1
3,2017-01-01 04:00:00,14.0,16738.0,-5.2,0.0,89.2,0,1,0,0,1
4,2017-01-01 05:00:00,11.0,16738.0,-5.7,0.0,88.9,0,1,0,0,1
5,2017-01-01 06:00:00,10.0,16738.0,-6.0,0.0,88.4,0,1,0,0,1
6,2017-01-01 07:00:00,11.0,16738.0,-6.1,0.0,88.0,0,1,0,0,1
7,2017-01-01 08:00:00,187.0,16738.0,-5.7,0.0,88.0,0,1,0,0,1
8,2017-01-01 09:00:00,392.0,16738.0,-4.5,0.0,88.4,0,1,0,0,1
9,2017-01-01 10:00:00,114.0,16738.0,-2.6,0.0,88.1,0,1,0,0,1
10,2017-01-01 11:00:00,243.0,16738.0,0.3,0.0,86.3,0,1,0,0,1
11,2017-01-01 12:00:00,203.0,16738.0,4.7,0.0,65.3,0,1,0,0,1
12,2017-01-01 13:00:00,250.0,16738.0,7.6,0.0,49.7,0,1,0,0,1
13,2017-01-01 14:00:00,181.0,16738.0,9.4,0.0,43.7,0,1,0,0,1
14,2017-01-01 15:00:00,141.0,16738.0,9.9,0.0,43.3,0,1,0,0,1
15,2017-01-01 16:00:00,148.0,16738.0,9.4,0.0,44.2,0,1,0,0,1
16,2017-01-01 17:00:00,132.0,16738.0,6.3,0.0,52.2,0,1,0,0,1
17,2017-01-01 18:00:00,199.0,16738.0,2.9,0.0,63.6,0,1,0,0,1
18,2017-01-01 19:00:00,202.0,16738.0,0.3,0.0,75.3,0,1,0,0,1
19,2017-01-01 20:00:00,245.0,16738.0,-0.5,0.0,79.8,0,1,0,0,1
20,2017-01-01 21:00:00,308.0,16738.0,-1.8,0.0,84.6,0,1,0,0,1
21,2017-01-01 22:00:00,152.0,16738.0,-2.6,0.0,87.1,0,1,0,0,1
22,2017-01-01 23:00:00,197.0,16738.0,-2.8,0.0,88.7,0,1,0,0,1
23,2017-01-02 00:00:00,175.0,16738.0,-3.3,0.0,89.2,1,0,0,0,1
24,2017-01-02 01:00:00,266.0,16738.0,-3.8,0.0,89.8,1,0,0,0,1
25,2017-01-02 02:00:00,113.0,16738.0,-4.3,0.0,89.4,1,0,0,0,1
26,2017-01-02 03:00:00,51.0,16738.0,-3.5,0.0,90.1,1,0,0,0,1
27,2017-01-02 04:00:00,10.0,16738.0,-3.7,0.0,90.0,1,0,0,0,1
