,ds,y,population,temp,rain,hum,week_weekday,week_weekend,kovo_Away,kovo_Home,kovo_No
0,2021-01-01 00:00:00,106.0,22509.0,-5.6,0.0,67.0,1,0,0,0,1
1,2021-01-01 01:00:00,184.0,22509.0,-8.4,0.0,80.3,1,0,0,0,1
2,2021-01-01 02:00:00,277.0,22509.0,-5.3,0.0,69.5,1,0,0,0,1
3,2021-01-01 03:00:00,197.0,22509.0,-5.6,0.0,70.9,1,0,0,0,1
4,2021-01-01 04:00:00,72.0,22509.0,-6.0,0.0,72.2,1,0,0,0,1
5,2021-01-01 05:00:00,45.0,22509.0,-5.8,0.0,69.7,1,0,0,0,1
6,2021-01-01 06:00:00,66.0,22509.0,-6.7,0.0,69.7,1,0,0,0,1
7,2021-01-01 07:00:00,39.0,22509.0,-9.8,0.0,82.2,1,0,0,0,1
8,2021-01-01 08:00:00,110.0,22509.0,-10.4,0.0,84.1,1,0,0,0,1
9,2021-01-01 09:00:00,299.0,22509.0,-7.5,0.0,81.5,1,0,0,0,1
10,2021-01-01 10:00:00,356.0,22509.0,-3.7,0.0,61.7,1,0,0,0,1
11,2021-01-01 11:00:00,279.0,22509.0,-1.9,0.0,56.2,1,0,0,0,1
12,2021-01-01 12:00:00,308.0,22509.0,-1.4,0.0,54.4,1,0,0,0,1
13,2021-01-01 13:00:00,257.0,22509.0,0.0,0.0,54.1,1,0,0,0,1
14,2021-01-01 14:00:00,291.0,22509.0,-0.5,0.0,58.5,1,0,0,0,1
15,2021-01-01 15:00:00,349.0,22509.0,-0.4,0.0,65.5,1,0,0,0,1
16,2021-01-01 16:00:00,246.0,22509.0,-0.9,0.0,73.6,1,0,0,0,1
17,2021-01-01 17:00:00,143.0,22509.0,-1.7,0.0,83.4,1,0,0,0,1
18,2021-01-01 18:00:00,152.0,22509.0,-2.4,0.0,88.8,1,0,0,0,1
19,2021-01-01 19:00:00,248.0,22509.0,-3.4,0.0,90.7,1,0,0,0,1
20,2021-01-01 20:00:00,359.0,22509.0,-3.6,0.0,90.8,1,0,0,0,1
21,2021-01-01 21:00:00,284.0,22509.0,-3.3,0.0,92.1,1,0,0,0,1
22,2021-01-01 22:00:00,242.0,22509.0,-3.6,0.0,92.6,1,0,0,0,1
23,2021-01-01 23:00:00,484.0,22509.0,-5.4,0.0,93.9,1,0,0,0,1
24,2021-01-02 00:00:00,189.0,22509.0,-5.5,0.0,94.2,0,1,0,0,1
25,2021-01-02 01:00:00,84.0,22509.0,-4.7,0.0,94.4,0,1,0,0,1
26,2021-01-02 02:00:00,87.0,22509.0,-2.0,0.0,85.6,0,1,0,0,1
27,2021-01-02 03:00:00,84.0,22509.0,-1.7,0.0,78.5,0,1,0,0,1
28,2021-01-02 04:00:00,97.0,22509.0,-2.1,0.0,76.2,0,1,0,0,1
29,2021-01-02 05:00:00,91.0,22509.0,-2.2,0.0,67.1,0,1,0,0,1
30,2021-01-02 06:00:00,32.0,22509.0,-2.7,0.0,67.5,0,1,0,0,1
31,2021-01-02 07:00:00,24.0,22509.0,-3.1,0.0,65.8,0,1,0,0,1
