,ds,y,week,population,temp,rain,hum,st
0,2017-01-01 01:00:00,138.0,weekend,"16,738",-4.2,0.0,89.5,-3.3
1,2017-01-01 02:00:00,237.0,weekend,"16,738",-4.0,0.0,89.7,-3.3
2,2017-01-01 03:00:00,128.0,weekend,"16,738",-4.7,0.0,89.5,-3.3
3,2017-01-01 04:00:00,14.0,weekend,"16,738",-5.2,0.0,89.2,-3.3
4,2017-01-01 05:00:00,11.0,weekend,"16,738",-5.7,0.0,88.9,-3.3
5,2017-01-01 06:00:00,10.0,weekend,"16,738",-6.0,0.0,88.4,-3.3
6,2017-01-01 07:00:00,11.0,weekend,"16,738",-6.1,0.0,88.0,-3.3
7,2017-01-01 08:00:00,187.0,weekend,"16,738",-5.7,0.0,88.0,-3.3
8,2017-01-01 09:00:00,392.0,weekend,"16,738",-4.5,0.0,88.4,-3.3
9,2017-01-01 10:00:00,114.0,weekend,"16,738",-2.6,0.0,88.1,-3.3
10,2017-01-01 11:00:00,243.0,weekend,"16,738",0.3,0.0,86.3,-3.3
11,2017-01-01 12:00:00,203.0,weekend,"16,738",4.7,0.0,65.3,-3.3
12,2017-01-01 13:00:00,250.0,weekend,"16,738",7.6,0.0,49.7,-3.3
13,2017-01-01 14:00:00,181.0,weekend,"16,738",9.4,0.0,43.7,-3.3
14,2017-01-01 15:00:00,141.0,weekend,"16,738",9.9,0.0,43.3,-3.3
15,2017-01-01 16:00:00,148.0,weekend,"16,738",9.4,0.0,44.2,-3.3
16,2017-01-01 17:00:00,132.0,weekend,"16,738",6.3,0.0,52.2,-3.3
17,2017-01-01 18:00:00,199.0,weekend,"16,738",2.9,0.0,63.6,-3.3
18,2017-01-01 19:00:00,202.0,weekend,"16,738",0.3,0.0,75.3,-3.3
19,2017-01-01 20:00:00,245.0,weekend,"16,738",-0.5,0.0,79.8,-3.3
20,2017-01-01 21:00:00,308.0,weekend,"16,738",-1.8,0.0,84.6,-3.3
21,2017-01-01 22:00:00,152.0,weekend,"16,738",-2.6,0.0,87.1,-3.3
22,2017-01-01 23:00:00,197.0,weekend,"16,738",-2.8,0.0,88.7,-3.3
23,2017-01-02 00:00:00,175.0,weekday,"16,738",-3.3,0.0,89.2,-3.4
24,2017-01-02 01:00:00,266.0,weekday,"16,738",-3.8,0.0,89.8,-3.4
25,2017-01-02 02:00:00,113.0,weekday,"16,738",-4.3,0.0,89.4,-3.4
26,2017-01-02 03:00:00,51.0,weekday,"16,738",-3.5,0.0,90.1,-3.4
27,2017-01-02 04:00:00,10.0,weekday,"16,738",-3.7,0.0,90.0,-3.4
28,2017-01-02 05:00:00,11.0,weekday,"16,738",-3.7,0.0,89.9,-3.4
29,2017-01-02 06:00:00,12.0,weekday,"16,738",-4.3,0.0,89.7,-3.4
30,2017-01-02 07:00:00,155.0,weekday,"16,738",-4.3,0.0,90.1,-3.4
31,2017-01-02 08:00:00,153.0,weekday,"16,738",-4.2,0.0,89.9,-3.4
32,2017-01-02 09:00:00,210.0,weekday,"16,738",-2.5,0.0,90.1,-3.4
33,2017-01-02 10:00:00,196.0,weekday,"16,738",2.0,0.0,87.5,-3.4
34,2017-01-02 11:00:00,273.0,weekday,"16,738",3.9,0.0,70.6,-3.4
35,2017-01-02 12:00:00,177.0,weekday,"16,738",5.6,0.0,62.9,-3.4
36,2017-01-02 13:00:00,123.0,weekday,"16,738",7.5,0.0,57.2,-3.4
37,2017-01-02 14:00:00,372.0,weekday,"16,738",8.2,0.0,56.3,-3.4
38,2017-01-02 15:00:00,385.0,weekday,"16,738",8.9,0.0,53.8,-3.4
39,2017-01-02 16:00:00,232.0,weekday,"16,738",9.0,0.0,55.8,-3.4
40,2017-01-02 17:00:00,125.0,weekday,"16,738",9.6,0.0,50.6,-3.4
41,2017-01-02 18:00:00,136.0,weekday,"16,738",5.1,0.0,59.5,-3.4
42,2017-01-02 19:00:00,351.0,weekday,"16,738",4.4,0.0,65.4,-3.4
43,2017-01-02 20:00:00,252.0,weekday,"16,738",2.8,0.0,69.3,-3.4
44,2017-01-02 21:00:00,308.0,weekday,"16,738",0.4,0.0,80.8,-3.4
45,2017-01-02 22:00:00,159.0,weekday,"16,738",-0.3,0.0,83.5,-3.4
46,2017-01-02 23:00:00,99.0,weekday,"16,738",-0.9,0.0,85.3,-3.4
47,2017-01-03 00:00:00,65.0,weekday,"16,738",-1.1,0.0,87.3,-1.3
48,2017-01-03 01:00:00,38.0,weekday,"16,738",-1.6,0.0,88.6,-1.3
49,2017-01-03 02:00:00,78.0,weekday,"16,738",-1.1,0.0,86.5,-1.3
50,2017-01-03 03:00:00,28.0,weekday,"16,738",1.6,0.0,70.9,-1.3
51,2017-01-03 04:00:00,13.0,weekday,"16,738",0.8,0.0,73.9,-1.3
52,2017-01-03 05:00:00,12.0,weekday,"16,738",-1.4,0.0,84.6,-1.3
53,2017-01-03 06:00:00,63.0,weekday,"16,738",-2.9,0.0,88.3,-1.3
54,2017-01-03 07:00:00,175.0,weekday,"16,738",-2.3,0.0,81.0,-1.3
55,2017-01-03 08:00:00,421.0,weekday,"16,738",-3.7,0.0,87.3,-1.3
