,ds,week_weekday,population,temp,rain,hum,st,holiday,warning,y
0,2021-01-01 00:00:00,1,22509.0,-5.6,0.0,67.0,-8.6,1,not,106.0
1,2021-01-01 01:00:00,1,22509.0,-8.4,0.0,80.3,-8.6,1,not,184.0
2,2021-01-01 02:00:00,1,22509.0,-5.3,0.0,69.5,-8.6,1,not,277.0
3,2021-01-01 03:00:00,1,22509.0,-5.6,0.0,70.9,-8.6,1,not,197.0
4,2021-01-01 04:00:00,1,22509.0,-6.0,0.0,72.2,-8.6,1,not,72.0
5,2021-01-01 05:00:00,1,22509.0,-5.8,0.0,69.7,-8.6,1,not,45.0
6,2021-01-01 06:00:00,1,22509.0,-6.7,0.0,69.7,-8.6,1,not,66.0
7,2021-01-01 07:00:00,1,22509.0,-9.8,0.0,82.2,-8.6,1,not,39.0
8,2021-01-01 08:00:00,1,22509.0,-10.4,0.0,84.1,-8.6,1,not,110.0
9,2021-01-01 09:00:00,1,22509.0,-7.5,0.0,81.5,-8.6,1,not,299.0
10,2021-01-01 10:00:00,1,22509.0,-3.7,0.0,61.7,-8.6,1,not,356.0
11,2021-01-01 11:00:00,1,22509.0,-1.9,0.0,56.2,-8.6,1,not,279.0
12,2021-01-01 12:00:00,1,22509.0,-1.4,0.0,54.4,-8.6,1,not,308.0
13,2021-01-01 13:00:00,1,22509.0,0.0,0.0,54.1,-8.6,1,not,257.0
14,2021-01-01 14:00:00,1,22509.0,-0.5,0.0,58.5,-8.6,1,not,291.0
15,2021-01-01 15:00:00,1,22509.0,-0.4,0.0,65.5,-8.6,1,not,349.0
16,2021-01-01 16:00:00,1,22509.0,-0.9,0.0,73.6,-8.6,1,not,549.0
17,2021-01-01 17:00:00,1,22509.0,-1.7,0.0,83.4,-8.6,1,not,143.0
18,2021-01-01 18:00:00,1,22509.0,-2.4,0.0,88.8,-8.6,1,not,152.0
19,2021-01-01 19:00:00,1,22509.0,-3.4,0.0,90.7,-8.6,1,not,248.0
20,2021-01-01 20:00:00,1,22509.0,-3.6,0.0,90.8,-8.6,1,not,359.0
21,2021-01-01 21:00:00,1,22509.0,-3.3,0.0,92.1,-8.6,1,not,284.0
22,2021-01-01 22:00:00,1,22509.0,-3.6,0.0,92.6,-8.6,1,not,242.0
23,2021-01-01 23:00:00,1,22509.0,-5.4,0.0,93.9,-8.6,1,not,484.0
24,2021-01-02 00:00:00,0,22509.0,-5.5,0.0,94.2,-9.2,0,not,189.0
25,2021-01-02 01:00:00,0,22509.0,-4.7,0.0,94.4,-9.2,0,not,84.0
26,2021-01-02 02:00:00,0,22509.0,-2.0,0.0,85.6,-9.2,0,not,87.0
27,2021-01-02 03:00:00,0,22509.0,-1.7,0.0,78.5,-9.2,0,not,84.0
28,2021-01-02 04:00:00,0,22509.0,-2.1,0.0,76.2,-9.2,0,not,97.0
29,2021-01-02 05:00:00,0,22509.0,-2.2,0.0,67.1,-9.2,0,not,91.0
