행정구역,2019년01월_총인구수,2019년01월_세대수,2019년01월_세대당 인구,2019년02월_총인구수,2019년02월_세대수,2019년02월_세대당 인구,2019년03월_총인구수,2019년03월_세대수,2019년03월_세대당 인구,2019년04월_총인구수,2019년04월_세대수,2019년04월_세대당 인구,2019년05월_총인구수,2019년05월_세대수,2019년05월_세대당 인구,2019년06월_총인구수,2019년06월_세대수,2019년06월_세대당 인구,2019년07월_총인구수,2019년07월_세대수,2019년07월_세대당 인구,2019년08월_총인구수,2019년08월_세대수,2019년08월_세대당 인구,2019년09월_총인구수,2019년09월_세대수,2019년09월_세대당 인구,2019년10월_총인구수,2019년10월_세대수,2019년10월_세대당 인구,2019년11월_총인구수,2019년11월_세대수,2019년11월_세대당 인구,2019년12월_총인구수,2019년12월_세대수,2019년12월_세대당 인구
경상북도 구미시 (4719000000),421140,173324,2.43,420770,173705,2.42,420392,173842,2.42,420294,174085,2.41,420463,174527,2.41,420507,174766,2.41,420468,174956,2.4,420399,175163,2.4,420319,175377,2.4,420230,175569,2.39,420095,175669,2.39,419742,176015,2.38
경상북도 구미시 선산읍(4719025000),15207,6505,2.34,15330,6585,2.33,15500,6670,2.32,15526,6690,2.32,15477,6688,2.31,15472,6687,2.31,15449,6674,2.31,15466,6692,2.31,15445,6699,2.31,15469,6722,2.3,15468,6737,2.3,15409,6736,2.29
경상북도 구미시 고아읍(4719025300),38404,13812,2.78,38292,13823,2.77,38130,13823,2.76,38064,13828,2.75,37797,13784,2.74,37583,13749,2.73,37478,13729,2.73,37420,13739,2.72,37395,13754,2.72,37329,13761,2.71,37326,13785,2.71,37249,13807,2.7
경상북도 구미시 무을면(4719031000),1984,1014,1.96,1971,1011,1.95,1970,1009,1.95,1964,1010,1.94,1957,1011,1.94,1949,1011,1.93,1941,1013,1.92,1932,1008,1.92,1929,1010,1.91,1919,1005,1.91,1917,1008,1.9,1915,1008,1.9
경상북도 구미시 옥성면(4719032000),1857,943,1.97,1848,950,1.95,1830,941,1.94,1831,940,1.95,1827,937,1.95,1820,936,1.94,1823,936,1.95,1809,930,1.95,1793,926,1.94,1784,928,1.92,1780,925,1.92,1774,925,1.92
경상북도 구미시 도개면(4719033000),2284,1149,1.99,2300,1155,1.99,2291,1152,1.99,2285,1156,1.98,2286,1156,1.98,2284,1159,1.97,2283,1162,1.96,2282,1162,1.96,2280,1157,1.97,2279,1158,1.97,2271,1150,1.97,2314,1160,1.99
경상북도 구미시 해평면(4719034000),4488,2211,2.03,4458,2201,2.03,4442,2190,2.03,4432,2190,2.02,4409,2192,2.01,4393,2185,2.01,4377,2188,2,4377,2185,2,4349,2174,2,4327,2175,1.99,4300,2169,1.98,4293,2172,1.98
경상북도 구미시 산동면(4719035000),18205,7009,2.6,18877,7229,2.61,19180,7335,2.61,20733,8073,2.57,21575,8481,2.54,22069,8714,2.53,22659,8962,2.53,22976,9124,2.52,23279,9247,2.52,23714,9426,2.52,23989,9524,2.52,25032,9981,2.51
경상북도 구미시 장천면(4719036000),3437,1623,2.12,3429,1620,2.12,3402,1613,2.11,3373,1609,2.1,3334,1601,2.08,3313,1601,2.07,3290,1598,2.06,3287,1601,2.05,3307,1618,2.04,3308,1621,2.04,3303,1621,2.04,3280,1616,2.03
경상북도 구미시 송정동(4719051000),16951,7638,2.22,16896,7653,2.21,16868,7645,2.21,16793,7636,2.2,16690,7621,2.19,16622,7611,2.18,16568,7614,2.18,16563,7629,2.17,16544,7651,2.16,16511,7661,2.16,16479,7678,2.15,16406,7679,2.14
경상북도 구미시 원평1동(4719052000),4313,2920,1.48,4253,2896,1.47,4223,2880,1.47,4202,2872,1.46,4179,2866,1.46,4151,2847,1.46,4077,2813,1.45,4043,2808,1.44,4034,2812,1.43,4025,2813,1.43,4007,2813,1.42,3991,2817,1.42
경상북도 구미시 원평2동(4719053000),3653,2056,1.78,3646,2061,1.77,3622,2057,1.76,3597,2054,1.75,3573,2041,1.75,3539,2030,1.74,3526,2031,1.74,3484,2005,1.74,3478,2005,1.73,3448,1980,1.74,3442,1974,1.74,3438,1974,1.74
경상북도 구미시 도량동(4719055100),28616,10741,2.66,28577,10756,2.66,28438,10735,2.65,28366,10740,2.64,29354,11122,2.64,30019,11363,2.64,30349,11496,2.64,30516,11565,2.64,30621,11616,2.64,30710,11673,2.63,30757,11713,2.63,30699,11729,2.62
경상북도 구미시 지산동(4719055500),2442,1114,2.19,2439,1113,2.19,2437,1113,2.19,2432,1111,2.19,2397,1102,2.18,2375,1096,2.17,2374,1097,2.16,2369,1094,2.17,2367,1089,2.17,2349,1085,2.16,2347,1089,2.16,2326,1084,2.15
경상북도 구미시 선주원남동(4719056500),49006,18311,2.68,48889,18326,2.67,48876,18367,2.66,48784,18359,2.66,48556,18325,2.65,48393,18294,2.65,48317,18308,2.64,48184,18296,2.63,48143,18317,2.63,48091,18334,2.62,48048,18331,2.62,47886,18314,2.61
경상북도 구미시 형곡1동(4719058200),15777,5999,2.63,15753,6005,2.62,15748,6008,2.62,15731,6008,2.62,15646,5985,2.61,15603,5986,2.61,15546,5967,2.61,15515,5964,2.6,15500,5960,2.6,15484,5953,2.6,15435,5928,2.6,15385,5935,2.59
경상북도 구미시 형곡2동(4719058300),18574,7095,2.62,18509,7106,2.6,18454,7106,2.6,18381,7088,2.59,18259,7074,2.58,18184,7065,2.57,18175,7075,2.57,18112,7073,2.56,18045,7062,2.56,17994,7069,2.55,17994,7074,2.54,17938,7062,2.54
경상북도 구미시 신평1동(4719059000),3493,1903,1.84,3495,1912,1.83,3494,1918,1.82,3502,1925,1.82,3497,1922,1.82,3478,1917,1.81,3474,1915,1.81,3449,1902,1.81,3444,1901,1.81,3447,1901,1.81,3418,1886,1.81,3400,1891,1.8
경상북도 구미시 신평2동(4719060000),3492,1602,2.18,3486,1606,2.17,3492,1607,2.17,3490,1606,2.17,3493,1600,2.18,3473,1596,2.18,3446,1584,2.18,3431,1585,2.16,3419,1579,2.17,3376,1563,2.16,3372,1556,2.17,3343,1548,2.16
경상북도 구미시 비산동(4719061000),6604,2773,2.38,6587,2762,2.38,6568,2758,2.38,6557,2750,2.38,6475,2728,2.37,6420,2714,2.37,6393,2711,2.36,6366,2712,2.35,6357,2714,2.34,6373,2723,2.34,6368,2722,2.34,6356,2721,2.34
경상북도 구미시 공단1동(4719062100),6054,2266,2.67,6046,2264,2.67,6046,2269,2.66,6048,2275,2.66,6339,2396,2.65,6519,2467,2.64,6595,2499,2.64,6640,2510,2.65,6624,2508,2.64,6649,2523,2.64,6665,2534,2.63,6702,2555,2.62
경상북도 구미시 공단2동(4719062200),4745,2219,2.14,4682,2194,2.13,4696,2210,2.12,4671,2189,2.13,4644,2172,2.14,4612,2159,2.14,4595,2155,2.13,4577,2147,2.13,4574,2142,2.14,4548,2142,2.12,4539,2140,2.12,4533,2140,2.12
경상북도 구미시 광평동(4719063000),4671,2145,2.18,4655,2148,2.17,4678,2155,2.17,4657,2150,2.17,4656,2159,2.16,4668,2157,2.16,4638,2140,2.17,4642,2154,2.16,4633,2150,2.15,4618,2145,2.15,4569,2132,2.14,4556,2122,2.15
경상북도 구미시 상모사곡동(4719064500),30202,11860,2.55,30129,11872,2.54,30062,11861,2.53,29922,11807,2.53,29788,11784,2.53,29720,11773,2.52,29639,11755,2.52,29633,11764,2.52,29604,11740,2.52,29541,11732,2.52,29533,11744,2.51,29468,11751,2.51
경상북도 구미시 임오동(4719066000),20395,7391,2.76,20307,7381,2.75,20267,7374,2.75,20227,7365,2.75,20141,7355,2.74,20090,7346,2.73,20008,7321,2.73,20011,7330,2.73,19983,7346,2.72,19977,7349,2.72,19977,7356,2.72,19913,7347,2.71
경상북도 구미시 인동동(4719067000),51484,22387,2.3,51240,22408,2.29,51110,22373,2.28,50850,22256,2.28,50521,22128,2.28,50275,22055,2.28,50248,22084,2.28,50142,22053,2.27,50012,22024,2.27,49908,21991,2.27,49857,21981,2.27,49615,21947,2.26
경상북도 구미시 진미동(4719068000),17406,10925,1.59,17326,10895,1.59,17259,10864,1.59,16996,10719,1.59,16910,10661,1.59,16789,10602,1.58,16680,10532,1.58,16636,10497,1.58,16616,10513,1.58,16575,10491,1.58,16471,10442,1.58,16343,10395,1.57
경상북도 구미시 양포동(4719069000),47396,17713,2.68,47350,17773,2.66,47309,17809,2.66,46880,17679,2.65,46683,17636,2.65,46694,17646,2.65,46520,17597,2.64,46537,17634,2.64,46544,17663,2.64,46477,17645,2.63,46463,17657,2.63,46178,17599,2.62
