일자,기온(°C),풍속(km/h),체감온도(°C)
2017-01-01,-2.7,2.9,-3.3
2017-01-02,-1.9,4.3,-3.4
2017-01-03,0.6,5.8,-1.3
2017-01-04,-2.3,3.6,-3.4
2017-01-05,-1.3,5.4,-3.3
2017-01-06,0,4,-1.1
2017-01-07,-1.7,5,-3.5
2017-01-08,3.6,4,2.9
2017-01-09,1.9,8.6,-0.7
2017-01-10,-1,11.9,-5
2017-01-11,-4.4,10.8,-8.8
2017-01-12,-3.1,3.6,-4.3
2017-01-13,-6,4.3,-8
2017-01-14,-6.4,13.3,-11.9
2017-01-15,-8.1,8.3,-12.4
2017-01-16,-8.2,5,-10.9
2017-01-17,-7.8,5.8,-10.9
2017-01-18,-3.8,4.7,-5.7
2017-01-19,-4.1,4,-5.7
2017-01-20,-4.4,9,-8.3
2017-01-21,-8.6,3.6,-10.4
2017-01-22,-5,15.1,-10.6
2017-01-23,-6.8,14,-12.6
2017-01-24,-6.5,8.6,-10.6
2017-01-25,-8.1,5.8,-11.2
2017-01-26,-8.4,4,-10.5
2017-01-27,-2.4,5.4,-4.5
2017-01-28,-5.9,5,-8.3
2017-01-29,0.1,5,-1.5
2017-01-30,-4.8,7.9,-8.3
2017-01-31,-8.2,5.4,-11.1
2017-02-01,-2.9,10.4,-6.9
2017-02-02,-3.7,15.1,-9
2017-02-03,-1.7,9,-5.1
2017-02-04,-2.3,4.3,-3.8
2017-02-05,3.1,13.3,-0.3
2017-02-06,0.3,15.5,-4.1
2017-02-07,-2.5,7.9,-5.6
2017-02-08,-4.1,4,-5.7
2017-02-09,-3.7,18,-9.6
2017-02-10,-4.5,16.6,-10.3
2017-02-11,-4.9,18.4,-11.1
2017-02-12,-5.8,2.9,-6.7
2017-02-13,-3.2,11.2,-7.5
2017-02-14,-1.9,4.3,-3.4
2017-02-15,-5.3,4.3,-7.2
2017-02-16,-4.1,3.6,-5.4
2017-02-17,0.2,13,-3.8
2017-02-18,-2.8,11.9,-7.2
2017-02-19,-4.6,4.7,-6.6
2017-02-20,-1.5,10.8,-5.3
2017-02-21,-5.1,5.8,-7.8
2017-02-22,3.9,10.1,1.3
2017-02-23,-0.9,12.2,-4.9
2017-02-24,-2.5,13,-7.1
2017-02-25,-1.8,4,-3.1
2017-02-26,-1.2,6.5,-3.6
2017-02-27,-2.3,4.7,-4
2017-02-28,-2,4.3,-3.5
2017-03-01,0.8,4,-0.2
2017-03-02,1,10.8,-2.3
2017-03-03,-1.1,9.7,-4.5
2017-03-04,0.5,4,-0.5
2017-03-05,0.3,4.3,-0.9
2017-03-06,0,8.3,-2.8
2017-03-07,-0.7,16.2,-5.5
2017-03-08,-1.4,16.2,-6.4
2017-03-09,1.3,10.8,-2
2017-03-10,1.9,7.9,-0.5
2017-03-11,-2.4,4,-3.8
2017-03-12,-0.4,4.3,-1.7
2017-03-13,6.2,12.6,3.6
2017-03-14,3.9,6.1,2.4
2017-03-15,-1.2,3.2,-1.9
2017-03-16,0.6,4.7,-0.8
2017-03-17,2.9,6.1,1.3
2017-03-18,2.4,4.7,1.3
2017-03-19,1.4,3.2,1
2017-03-20,2.4,5,1.1
2017-03-21,3.8,5.8,2.4
2017-03-22,0.7,2.5,0.7
2017-03-23,6.2,4,5.8
2017-03-24,3.6,5.8,2.2
2017-03-25,5.5,8.6,3.6
2017-03-26,4.6,5.4,3.5
2017-03-27,4.7,18.4,0.9
2017-03-28,-0.1,3.6,-0.9
2017-03-29,6,11.9,3.5
2017-03-30,3,6.5,1.2
2017-03-31,8.4,7.2,7.3
2017-04-01,5.9,5.8,4.8
2017-04-02,2.7,3.2,2.4
2017-04-03,5.4,2.9,5.5
2017-04-04,3.7,4.7,2.7
2017-04-05,,,
2017-04-06,,,
2017-04-07,8.4,4,8.3
2017-04-08,9.8,5.8,9.3
2017-04-09,8.9,6.8,8
2017-04-10,6,4.3,5.5
2017-04-11,8.6,12.2,6.6
2017-04-12,,,
2017-04-13,6.5,4.3,6.1
2017-04-14,8.3,5.4,7.7
2017-04-15,,,
2017-04-16,9.6,3.6,9.8
2017-04-17,,,
2017-04-18,9.4,4.3,9.3
2017-04-19,9.6,8.6,8.4
2017-04-20,9.9,5.4,9.5
2017-04-21,7.3,2.9,7.6
2017-04-22,8.1,6.8,7.1
2017-04-23,6.6,4,6.3
2017-04-24,7.3,4.3,7
2017-04-25,,,
2017-04-26,,,
2017-04-27,9.5,7.9,8.4
2017-04-28,5.5,4.3,4.9
2017-04-29,9.3,3.2,9.6
2017-04-30,9.7,4,9.8
