일자,기온(°C),습도(%rh),체감온도(°C)
2020-05-01,30.6,47.8,30.4
2020-05-02,28.2,52.3,28.5
2020-05-03,19.9,97.8,23.4
2020-05-04,28.2,55,28.7
2020-05-05,20.7,64.7,22.1
2020-05-06,27.3,34.2,25.9
2020-05-07,23.9,25.5,21.8
2020-05-08,23.6,51.7,23.9
2020-05-09,19.7,92.7,22.9
2020-05-10,21.8,74.9,23.9
2020-05-11,27.8,26.7,25.5
2020-05-12,25.5,36.4,24.4
2020-05-13,24.3,27.9,22.4
2020-05-14,26.5,32.6,24.9
2020-05-15,19.9,61.6,21
2020-05-16,25.4,71.5,27.2
2020-05-17,28.2,61.1,29.3
2020-05-18,24.3,67.9,25.9
2020-05-19,19.5,61.2,20.6
2020-05-20,21.9,48.8,22.1
2020-05-21,23.6,50.5,23.8
2020-05-22,23.5,55.3,24.1
2020-05-23,27,43.4,26.5
2020-05-24,25.1,64.3,26.4
2020-05-25,25.1,56.1,25.7
2020-05-26,27.3,45.9,27
2020-05-27,26.4,36.9,25.3
2020-05-28,27.8,31.3,26
2020-05-29,28.3,33.8,26.8
2020-05-30,28.6,39.5,27.6
2020-05-31,28.4,40.7,27.6
2020-06-01,26.1,50.4,26.3
2020-06-02,27.1,32.4,25.5
2020-06-03,29.3,52.7,29.6
2020-06-04,34.2,35.9,32.6
2020-06-05,33.8,43.2,33
2020-06-06,29.1,53.5,29.5
2020-06-07,31.3,41.9,30.5
2020-06-08,33.8,44.2,33.1
2020-06-09,33.8,43.7,33.1
2020-06-10,34,41.6,33
2020-06-11,30.7,60.3,31.7
2020-06-12,28.7,81.8,31.4
2020-06-13,29.1,72,31.1
2020-06-14,29.7,77.1,32.1
2020-06-15,30.1,48.8,30
2020-06-16,29.7,51.7,29.9
2020-06-17,27.6,53.5,28
2020-06-18,22.4,88.8,25.4
2020-06-19,29.1,53.1,29.5
2020-06-20,29.3,53.5,29.7
2020-06-21,30.2,58.8,31.1
2020-06-22,32,49.3,31.9
2020-06-23,31.8,51.3,31.9
2020-06-24,26.1,62.5,27.3
2020-06-25,24.7,99,28.5
2020-06-26,29,59.5,29.9
2020-06-27,29.7,56.8,30.4
2020-06-28,30.6,58,31.4
2020-06-29,26.1,79.8,28.6
2020-06-30,26.2,91.1,29.5
2020-07-01,26,68.5,27.6
2020-07-02,29.2,59.2,30.1
2020-07-03,23.7,76,25.8
2020-07-04,25.5,71.2,27.3
2020-07-05,27.3,72.3,29.2
2020-07-06,27.9,74.9,30.1
2020-07-07,30.1,75.9,32.4
2020-07-08,30.6,58.4,31.4
2020-07-09,30.7,63.1,31.9
2020-07-10,27.1,93.6,30.6
2020-07-11,31.4,63.4,32.6
2020-07-12,23.4,85.9,26.3
2020-07-13,20.3,99,23.9
2020-07-14,21.9,94.1,25.3
2020-07-15,21.9,96.5,25.4
2020-07-16,28.6,59.3,29.5
2020-07-17,30.3,57,31
2020-07-18,27.2,61.5,28.3
2020-07-19,27.8,92.2,31.3
2020-07-20,32.1,65.2,33.5
2020-07-21,31,64.8,32.4
2020-07-22,26.6,81.8,29.2
2020-07-23,22.8,99,26.5
2020-07-24,23.2,98.1,26.9
2020-07-25,25.7,90,28.9
2020-07-26,28.5,82.5,31.3
2020-07-27,25.4,99,29.2
2020-07-28,24.5,99,28.3
2020-07-29,25.2,99,29
2020-07-30,25.5,98.3,29.3
2020-07-31,31,78,33.5
2020-08-01,31.2,79.1,33.7
2020-08-02,31.1,82.1,33.9
2020-08-03,31.1,81.8,33.9
2020-08-04,32.5,77.6,35
2020-08-05,31.1,80.6,33.8
2020-08-06,29.6,93.8,33.2
2020-08-07,25.1,99,28.9
2020-08-08,24.6,99,28.4
2020-08-09,31.9,74.2,34.1
2020-08-10,27.6,99,31.5
2020-08-11,30,90.3,33.4
2020-08-12,31.7,97.2,35.7
2020-08-13,33.7,72.7,35.8
2020-08-14,33.4,79.1,36
2020-08-15,34.5,71,36.5
2020-08-16,34,69,35.8
2020-08-17,33.2,66.9,34.8
2020-08-18,33.7,65.5,35.2
2020-08-19,34.6,55.9,35.2
2020-08-20,33.7,56,34.3
2020-08-21,31.9,56.9,32.6
2020-08-22,31.3,58,32.1
2020-08-23,31.5,58.1,32.3
2020-08-24,32.5,56.8,33.2
2020-08-25,34.1,50.9,34.2
2020-08-26,33.8,52.5,34
2020-08-27,32.1,70.2,33.9
2020-08-28,32,67.1,33.6
2020-08-29,31.9,62.1,33.1
2020-08-30,33.5,62,34.6
2020-08-31,27.4,72.6,29.4
2020-09-01,28.7,67.6,30.3
2020-09-02,25.3,95,28.9
2020-09-03,29.2,50.7,29.3
2020-09-04,29.1,50.4,29.2
2020-09-05,23.4,76.8,25.6
2020-09-06,21.2,90.2,24.3
2020-09-07,24.5,64.4,25.8
2020-09-08,29.2,52.1,29.5
2020-09-09,27,54,27.5
2020-09-10,26.7,63,27.9
2020-09-11,25.2,72,27.1
2020-09-12,23.2,76.4,25.4
2020-09-13,26.5,59.3,27.4
2020-09-14,27.2,53.5,27.6
2020-09-15,28,52.1,28.2
2020-09-16,23.5,74.6,25.6
2020-09-17,24.2,75,26.3
2020-09-18,25.6,51.8,25.9
2020-09-19,27.2,37.9,26.2
2020-09-20,25.6,40.5,24.9
2020-09-21,23.2,48,23.3
2020-09-22,22.8,56.9,23.6
2020-09-23,23.2,58.3,24
2020-09-24,23.5,58.8,24.4
2020-09-25,25.8,48.2,25.8
2020-09-26,24.9,48.4,24.9
2020-09-27,24.8,46.6,24.7
2020-09-28,24.3,46.3,24.1
2020-09-29,26,35.7,24.8
2020-09-30,24.7,45.3,24.5
