,경기 날짜,Team_A,Team_B,경기장소,경기시작시간,관중수
0,01. 01,삼성화재,KB손해보험,대전충무,14:00,"3,420"
1,01. 01,KGC인삼공사,GS칼텍스,대전충무,16:50,924
2,01. 02,,,,,
3,01. 03,우리카드,OK저축은행,서울장충,19:00,"2,100"
4,01. 04,흥국생명,현대건설,인천계양,17:00,"1,603"
5,01. 04,대한항공,한국전력,인천계양,19:00,"2,977"
6,01. 05,KGC인삼공사,한국도로공사,대전충무,17:00,"1,146"
7,01. 05,삼성화재,OK저축은행,대전충무,19:00,"2,682"
8,01. 06,GS칼텍스,IBK기업은행,서울장충,17:00,"1,530"
9,01. 06,KB손해보험,현대캐피탈,구미박정희,19:00,"3,057"
10,01. 07,우리카드,한국전력,서울장충,14:00,"3,750"
11,01. 08,삼성화재,대한항공,대전충무,14:00,"4,020"
12,01. 08,KGC인삼공사,흥국생명,대전충무,16:15,"3,214"
13,01. 09,,,,,
14,01. 10,현대건설,한국도로공사,수원,17:00,"1,907"
15,01. 10,한국전력,OK저축은행,수원,19:30,"2,213"
16,01. 11,우리카드,현대캐피탈,서울장충,19:00,"3,592"
17,01. 12,GS칼텍스,흥국생명,서울장충,17:00,"1,823"
18,01. 12,KB손해보험,대한항공,구미박정희,19:00,"1,527"
19,01. 13,한국도로공사,IBK기업은행,김천실내,17:00,"1,331"
20,01. 13,OK저축은행,현대캐피탈,안산상록수,19:00,"1,889"
21,01. 14,한국전력,KB손해보험,수원,14:00,"4,050"
22,01. 14,현대건설,GS칼텍스,수원,16:40,"1,694"
23,01. 15,우리카드,삼성화재,서울장충,14:27,"4,010"
24,01. 16,,,,,
25,01. 17,흥국생명,IBK기업은행,인천계양,17:00,"2,340"
26,01. 17,대한항공,현대캐피탈,인천계양,19:40,"1,310"
27,01. 18,KB손해보험,우리카드,구미박정희,19:00,"1,854"
28,01. 19,현대건설,KGC인삼공사,수원,17:00,"1,894"
29,01. 19,한국전력,삼성화재,수원,19:30,"1,798"
30,01. 20,한국도로공사,흥국생명,김천실내,17:00,"1,562"
31,01. 20,OK저축은행,대한항공,안산상록수,19:00,"1,378"
32,01. 21,,,,,
33,01. 22,,,,,
34,01. 23,,,,,
35,01. 24,,,,,
36,01. 25,,,,,
37,01. 26,우리카드,OK저축은행,서울장충,19:00,"2,153"
38,01. 27,한국전력,현대캐피탈,수원,14:00,"3,836"
39,01. 27,현대건설,IBK기업은행,수원,17:20,"1,641"
40,01. 28,삼성화재,대한항공,대전충무,14:00,"2,893"
41,01. 28,KGC인삼공사,흥국생명,대전충무,17:25,746
42,01. 29,KB손해보험,우리카드,구미박정희,14:00,"2,725"
43,01. 30,OK저축은행,현대캐피탈,안산상록수,14:00,"2,415"
44,01. 30,한국도로공사,IBK기업은행,김천실내,16:00,"2,385"
45,01. 31,KGC인삼공사,현대건설,대전충무,17:00,"1,486"
46,01. 31,삼성화재,한국전력,대전충무,19:10,"3,891"
47,02. 01,GS칼텍스,흥국생명,서울장충,17:00,"2,026"
48,02. 01,KB손해보험,대한항공,구미박정희,19:00,"1,460"
49,02. 02,현대캐피탈,우리카드,천안유관순,19:00,"2,298"
50,02. 03,현대건설,한국도로공사,수원,17:00,"1,613"
51,02. 03,한국전력,OK저축은행,수원,19:55,"1,951"
52,02. 04,KB손해보험,삼성화재,구미박정희,14:00,"3,561"
53,02. 04,GS칼텍스,KGC인삼공사,서울장충,16:00,"2,535"
54,02. 05,대한항공,OK저축은행,인천계양,14:00,"3,096"
55,02. 05,흥국생명,한국도로공사,인천계양,16:00,348
56,02. 06,,,,,
57,02. 07,삼성화재,우리카드,대전충무,19:00,"3,051"
58,02. 08,현대건설,GS칼텍스,수원,17:00,"1,422"
59,02. 08,한국전력,KB손해보험,수원,19:55,"1,933"
60,02. 09,IBK기업은행,흥국생명,화성종합실내,17:00,"1,052"
61,02. 09,현대캐피탈,대한항공,천안유관순,19:00,"3,975"
62,02. 10,우리카드,한국전력,서울장충,19:00,"2,712"
63,02. 11,현대캐피탈,삼성화재,천안유관순,15:07,"4,238"
64,02. 11,IBK기업은행,KGC인삼공사,화성종합실내,16:00,"2,412"
65,02. 12,OK저축은행,KB손해보험,안산상록수,14:00,"1,874"
66,02. 12,한국도로공사,GS칼텍스,김천실내,16:00,"2,702"
67,02. 13,,,,,
68,02. 14,흥국생명,현대건설,인천계양,17:00,"1,772"
69,02. 14,대한항공,한국전력,인천계양,19:45,"2,552"
70,02. 15,한국도로공사,KGC인삼공사,김천실내,17:00,"2,580"
71,02. 15,OK저축은행,삼성화재,안산상록수,19:00,"1,754"
72,02. 16,우리카드,대한항공,서울장충,19:00,"2,705"
73,02. 17,GS칼텍스,IBK기업은행,서울장충,17:00,"1,337"
74,02. 17,KB손해보험,현대캐피탈,구미박정희,19:00,"2,487"
75,02. 18,삼성화재,OK저축은행,대전충무,14:00,"3,887"
76,02. 18,KGC인삼공사,한국도로공사,대전충무,16:45,"1,026"
